person_spks_macedonian_tot, person_spks_polish_tot, person_spks_greek_tot, person_spks_spanish_tot, person_spks_russian_tot, person_spks_thai_tot, person_spks_tamil_tot, person_spks_serbian_tot, person_spks_italian_tot, person_tot_tot, gcc_code16, person_spks_turkish_tot, person_spks_maltese_tot, person_spks_se_asia_austronesia_lang_tot_tot, person_spks_persian_ed_tot, person_spks_indo_aryan_lang_tot_tot, person_spks_indo_aryan_lang_urdu_tot, person_spks_japanese_tot, person_spks_vietnamese_tot, person_spks_samoan_tot, person_spks_korean_tot
9172,2052,5455,6491,1246,3153,1234,2935,12839,2643536,"1RNSW",1756,1201,9595,1275,15771,1611,2067,3498,1081,2086
18958,12060,76201,56929,17497,21652,28431,18544,62796,4823991,"1GSYD",19838,11119,95618,20750,220890,28064,15241,99301,15427,57789
1448,1136,3280,1769,676,1265,787,1269,10356,1433818,"2RVIC",1487,932,5777,782,9098,792,1049,1950,405,639
28035,14037,107386,33664,16984,10392,24866,15779,101849,4485211,"2GMEL",30306,15954,59415,15624,202452,22399,10418,101388,11195,14844
852,3338,7557,14807,3672,4173,4095,3296,10015,2270800,"3GBRI",1199,457,21390,5230,48305,3866,6784,22573,13820,13213
410,1867,2965,6135,2316,3943,1421,1463,9917,2419724,"3RQLD",854,895,16398,1474,16799,1086,10069,3311,1140,6366
21,187,1522,251,98,233,156,99,1489,378074,"4RSAU",126,40,1908,128,1568,134,173,440,29,102
614,5493,21464,5402,3195,1717,2536,4080,27595,1295714,"4GADE",564,805,11014,4611,33019,2805,2027,18563,121,3487
5632,5501,4536,9661,2973,5353,6571,4890,26759,1943858,"5GPER",1668,351,36752,6494,46330,5099,5403,19396,811,6630
217,473,250,733,231,1043,316,141,2601,524167,"5RWAU",58,33,7326,202,2314,272,448,837,128,467
7,481,1020,596,142,292,194,91,724,222356,"6GHOB",52,5,720,311,2209,208,381,283,29,315
10,210,171,335,177,198,113,35,375,286627,"6RTAS",31,18,741,283,1408,81,215,155,17,190
12,18,69,113,25,127,34,3,169,89443,"7RNTE",6,4,897,26,821,66,95,200,84,76
13,94,3174,371,113,731,484,54,593,136828,"7GDAR",48,4,6008,122,3728,377,398,1017,35,285
593,1091,2436,3272,889,1075,1883,1095,3247,396857,"8ACTE",285,153,4832,933,14071,2370,1116,4215,486,2367
0,0,0,6,6,13,4,0,12,4523,"9OTER",0,0,749,0,9,0,0,10,3,0
